DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip,DATE
56.3,40.4,31.46,38,5.16,315,29.94,29.94,0.0,26-01-2025 21:47
56.3,40.4,31.46,38,5.16,315,29.94,29.94,0.0,26-01-2025 22:47
59.0,38.84,27.5,30,2.49,16,29.94,29.94,0.0,26-01-2025 23:47
69.62,65.59,63.32,80,2.24,197,29.91,29.91,0.0,27-01-2025 00:47
62.96,38.54,24.8,23,5.16,334,29.91,29.91,0.0,27-01-2025 01:47
61.16,35.12,20.48,20,3.6,26,29.94,29.94,0.0,27-01-2025 02:47
56.84,38.52,28.22,33,4.04,325,29.94,29.94,0.0,27-01-2025 03:47
57.74,39.77,29.66,34,4.04,332,29.94,29.94,0.0,27-01-2025 04:47
62.96,38.54,24.8,23,5.16,334,29.91,29.91,0.0,27-01-2025 05:47
60.8,51.58,46.4,59,2.24,130,29.94,29.94,0.0,27-01-2025 06:47
58.64,38.48,27.14,30,2.24,32,29.94,29.94,0.0,27-01-2025 07:47
64.22,48.21,39.2,39,3.36,3,29.91,29.91,0.0,27-01-2025 08:47
58.64,38.48,27.14,30,2.24,32,29.94,29.94,0.0,27-01-2025 09:47
60.8,51.58,46.4,59,2.24,130,29.94,29.94,0.0,27-01-2025 10:47
58.64,38.48,27.14,30,2.24,32,29.94,29.94,0.0,27-01-2025 11:47
61.16,36.05,21.92,22,4.04,33,29.94,29.94,0.0,27-01-2025 12:47
64.4,49.88,41.72,43,4.47,124,29.94,29.94,0.0,27-01-2025 13:47
56.3,40.4,31.46,38,5.16,315,29.94,29.94,0.0,27-01-2025 14:47
60.8,51.58,46.4,59,2.24,130,29.94,29.94,0.0,27-01-2025 15:47
57.38,38.14,27.32,67,5.34,276,29.97,29.97,0.0,27-01-2025 16:47
